classification,report_date,termination_date,termination_speed,status,recall_reason,recall_category,manufacturer_name,product_type,route,notification_type
Class II,2017-06-21,2019-05-01,694,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2021-05-26,,,Ongoing,CMGP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,nan
Class II,2023-01-25,,,Ongoing,CGMP DEVIATIONS AND SUPERPOTENT DRUG,CGMP/GMP Issues,nan,nan,nan,Telephone
Class II,2018-08-15,2019-09-11,421,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2018-09-05,2018-10-10,51,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,E-Mail
Class II,2018-12-05,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2019-03-27,2020-12-07,643,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2019-10-23,2020-02-12,161,Terminated,CGMP DEVIATION,CGMP/GMP Issues,Jubilant Cadista Pharmaceuticals ., PRESCRIPTION DRUG,ORAL,Letter
Class II,2019-11-27,2023-01-04,1153,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2020-10-07,2021-09-21,924,Terminated,CGMP DEVIATION,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2021-09-08,2022-11-04,463,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Casper Pharma , PRESCRIPTION DRUG,ORAL,Letter
Class II,2017-04-19,2018-07-03,466,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2019-04-17,2023-05-24,1542,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2019-06-26,2021-09-16,864,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Zydus Pharmaceuticals USA ., PRESCRIPTION DRUG,ORAL,Letter
Class II,2022-01-26,,,Ongoing,CGMP DEVIATION,CGMP/GMP Issues,Mayne Pharma, PRESCRIPTION DRUG,TOPICAL,Letter
Class II,2013-10-09,2014-11-20,469,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2014-02-12,2014-02-04,165,Terminated,CGMP DEVIATION,CGMP/GMP Issues,nan,nan,nan,E-Mail
Class III,2017-10-11,2020-07-16,1100,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2018-10-31,2020-03-06,560,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2019-01-23,2020-03-27,1075,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2020-01-15,2021-03-10,440,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2022-02-02,2023-09-20,632,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Viona Pharmaceuticals , PRESCRIPTION DRUG,ORAL,Letter
Class II,2022-04-20,2023-11-17,603,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,E-Mail
Class II,2015-07-15,2017-02-22,632,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2019-02-13,2023-11-06,1795,Terminated,GMP DEVIATIONS,CGMP/GMP Issues,Walgreens, OTC DRUG,TOPICAL,Letter
Class II,2021-08-11,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,Pfizer Laboratories Div Pfizer , PRESCRIPTION DRUG,ORAL,Letter
Class II,2023-02-22,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class III,2016-09-14,2017-04-03,409,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,E-Mail
Class II,2018-10-17,2020-05-08,596,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Greenstone , PRESCRIPTION DRUG,ORAL,Letter
Class II,2020-01-29,2023-12-15,1439,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,E-Mail
Class II,2020-03-18,2021-03-29,395,Terminated,CGMP DEVIATION,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2022-03-02,2023-10-31,634,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Professional Disposables International, OTC DRUG,TOPICAL,Letter
Class II,2022-06-01,2022-09-02,123,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class III,2016-04-06,2016-05-10,237,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2019-04-03,2020-04-29,407,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Allergan, PRESCRIPTION DRUG,OPHTHALMIC,Letter
Class II,2019-10-30,2020-12-01,419,Terminated,GMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2020-02-19,2021-10-26,634,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Zydus Pharmaceuticals USA ., PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2020-02-26,2022-08-04,909,Terminated,GMP DEVIATIONS,CGMP/GMP Issues,American Health Packaging, PRESCRIPTION DRUG,ORAL,Letter
Class II,2020-03-18,2022-09-17,1039,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2021-09-08,2023-02-16,554,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2022-01-19,2022-03-28,88,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2017-06-14,2019-02-21,679,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2018-07-18,2020-09-28,818,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,nan
Class II,2019-12-11,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2020-06-03,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,E-Mail
Class II,2021-07-21,,,Completed,CGMP DEVIATIONS,CGMP/GMP Issues,Cipla USA ., PRESCRIPTION DRUG,ORAL,Letter
Class II,2022-06-08,2023-10-05,518,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Direct_Rx, PRESCRIPTION DRUG,ORAL,Letter
Class II,2019-04-17,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,Torrent Pharmaceuticals Limited, PRESCRIPTION DRUG,ORAL,Letter
Class II,2019-10-02,2022-01-21,876,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2020-02-19,2020-11-03,281,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Actavis Pharma, PRESCRIPTION DRUG,ORAL,Letter
Class II,2020-03-25,2021-02-09,333,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Sun Pharmaceutical Industries, PRESCRIPTION DRUG,ORAL,Letter
Class II,2020-04-22,2020-07-24,101,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2020-06-24,2022-01-14,589,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2021-01-20,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2021-03-03,2022-12-28,769,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Areva Pharmaceuticals, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2020-11-04,2021-02-24,136,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2014-01-22,2017-08-07,1400,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,E-Mail
Class III,2015-04-22,2016-12-30,687,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2019-08-14,2020-06-05,326,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2020-08-05,2020-12-02,160,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Press Release
Class II,2020-11-25,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Press Release
Class II,2021-08-25,2022-09-07,448,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2022-04-27,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Press Release
Class II,2023-08-02,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2018-03-14,2021-01-20,1106,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2018-11-14,2020-09-08,683,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,SC Johnson Professional USA, OTC DRUG,TOPICAL,Telephone
Class II,2019-02-20,2023-06-09,1634,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2018-09-26,2020-10-01,756,Terminated,CGMP DEVIATION,CGMP/GMP Issues,Baxter Healthcare Corporation, PRESCRIPTION DRUG,INTRAVENOUS,Letter
Class II,2019-05-22,2023-04-03,1434,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class II,2019-05-29,2020-02-25,300,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class II,2019-07-17,2020-09-09,489,Terminated,GMP DEVIATIONS,CGMP/GMP Issues,BluePoint Laboratories, PRESCRIPTION DRUG,ORAL,Letter
Class II,2020-01-29,2020-07-23,225,Terminated,CGMP DEVIATION,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2021-03-24,2021-09-21,203,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2021-11-17,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,Precision Dose, OTC DRUG,ORAL,Letter
Class II,2022-05-18,,,Completed,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit"
Class II,2022-09-07,2023-09-07,380,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,Teva Pharmaceuticals USA, PRESCRIPTION DRUG,ORAL,Letter
Class II,2023-03-15,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,E-Mail
Class II,2018-02-07,2020-05-07,833,Terminated,CGMP DEVIATIONS.,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2020-03-18,2022-08-04,988,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2022-05-11,2022-09-09,137,Terminated,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
Class II,2022-06-22,,,Ongoing,CGMP DEVIATIONS,CGMP/GMP Issues,nan,nan,nan,Letter
